pokedex_number,name,hp,attack,defense,sp_attack,sp_defense,speed,type1,type2,height_m,weight_kg,generation,is_legendary
537,Seismitoad,105,95,75,85,75,74,water,ground,1.5,62,5,0
538,Throh,120,100,85,30,85,45,fighting,,1.3,55.5,5,0
539,Sawk,75,125,75,30,75,85,fighting,,1.4,51,5,0
540,Sewaddle,45,53,70,40,60,42,bug,grass,0.3,2.5,5,0
541,Swadloon,55,63,90,50,80,42,bug,grass,0.5,7.3,5,0
542,Leavanny,75,103,80,70,80,92,bug,grass,1.2,20.5,5,0
543,Venipede,30,45,59,30,39,57,bug,poison,0.4,5.3,5,0
544,Whirlipede,40,55,99,40,79,47,bug,poison,1.2,58.5,5,0
545,Scolipede,60,100,89,55,69,112,bug,poison,2.5,200.5,5,0
546,Cottonee,40,27,60,37,50,66,grass,fairy,0.3,0.6,5,0
547,Whimsicott,60,67,85,77,75,116,grass,fairy,0.7,6.6,5,0
548,Petilil,45,35,50,70,50,30,grass,,0.5,6.6,5,0
549,Lilligant,70,60,75,110,75,90,grass,,1.1,16.3,5,0
550,Basculin,70,92,65,80,55,98,water,,1,18,5,0
551,Sandile,50,72,35,35,35,65,ground,dark,0.7,15.2,5,0
552,Krokorok,60,82,45,45,45,74,ground,dark,1,33.4,5,0
553,Krookodile,95,117,80,65,70,92,ground,dark,1.5,96.3,5,0
554,Darumaka,70,90,45,15,45,50,fire,,0.6,37.5,5,0
555,Darmanitan,105,30,105,140,105,55,fire,fire,1.3,92.9,5,0
556,Maractus,75,86,67,106,67,60,grass,,1,28,5,0
557,Dwebble,50,65,85,35,35,55,bug,rock,0.3,14.5,5,0
558,Crustle,70,105,125,65,75,45,bug,rock,1.4,200,5,0
559,Scraggy,50,75,70,35,70,48,dark,fighting,0.6,11.8,5,0
560,Scrafty,65,90,115,45,115,58,dark,fighting,1.1,30,5,0
561,Sigilyph,72,58,80,103,80,97,psychic,flying,1.4,14,5,0
562,Yamask,38,30,85,55,65,30,ghost,,0.5,1.5,5,0
563,Cofagrigus,58,50,145,95,105,30,ghost,,1.7,76.5,5,0
564,Tirtouga,54,78,103,53,45,22,water,rock,0.7,16.5,5,0
565,Carracosta,74,108,133,83,65,32,water,rock,1.2,81,5,0
566,Archen,55,112,45,74,45,70,rock,flying,0.5,9.5,5,0
567,Archeops,75,140,65,112,65,110,rock,flying,1.4,32,5,0
568,Trubbish,50,50,62,40,62,65,poison,,0.6,31,5,0
569,Garbodor,80,95,82,60,82,75,poison,,1.9,107.3,5,0
570,Zorua,40,65,40,80,40,65,dark,,0.7,12.5,5,0
571,Zoroark,60,105,60,120,60,105,dark,,1.6,81.1,5,0
572,Minccino,55,50,40,40,40,75,normal,,0.4,5.8,5,0
573,Cinccino,75,95,60,65,60,115,normal,,0.5,7.5,5,0
574,Gothita,45,30,50,55,65,45,psychic,,0.4,5.8,5,0
575,Gothorita,60,45,70,75,85,55,psychic,,0.7,18,5,0
576,Gothitelle,70,55,95,95,110,65,psychic,,1.5,44,5,0
577,Solosis,45,30,40,105,50,20,psychic,,0.3,1,5,0
578,Duosion,65,40,50,125,60,30,psychic,,0.6,8,5,0
579,Reuniclus,110,65,75,125,85,30,psychic,,1,20.1,5,0
580,Ducklett,62,44,50,44,50,55,water,flying,0.5,5.5,5,0
581,Swanna,75,87,63,87,63,98,water,flying,1.3,24.2,5,0
582,Vanillite,36,50,50,65,60,44,ice,,0.4,5.7,5,0
583,Vanillish,51,65,65,80,75,59,ice,,1.1,41,5,0
584,Vanilluxe,71,95,85,110,95,79,ice,,1.3,57.5,5,0
585,Deerling,60,60,50,40,50,75,normal,grass,0.6,19.5,5,0
586,Sawsbuck,80,100,70,60,70,95,normal,grass,1.9,92.5,5,0
587,Emolga,55,75,60,75,60,103,electric,flying,0.4,5,5,0
588,Karrablast,50,75,45,40,45,60,bug,,0.5,5.9,5,0
589,Escavalier,70,135,105,60,105,20,bug,steel,1,33,5,0
590,Foongus,69,55,45,55,55,15,grass,poison,0.2,1,5,0
591,Amoonguss,114,85,70,85,80,30,grass,poison,0.6,10.5,5,0
592,Frillish,55,40,50,65,85,40,water,ghost,1.2,33,5,0
593,Jellicent,100,60,70,85,105,60,water,ghost,2.2,135,5,0
594,Alomomola,165,75,80,40,45,65,water,,1.2,31.6,5,0
595,Joltik,50,47,50,57,50,65,bug,electric,0.1,0.6,5,0
596,Galvantula,70,77,60,97,60,108,bug,electric,0.8,14.3,5,0
597,Ferroseed,44,50,91,24,86,10,grass,steel,0.6,18.8,5,0
598,Ferrothorn,74,94,131,54,116,20,grass,steel,1,110,5,0
599,Klink,40,55,70,45,60,30,steel,,0.3,21,5,0
600,Klang,60,80,95,70,85,50,steel,,0.6,51,5,0
601,Klinklang,60,100,115,70,85,90,steel,,0.6,81,5,0
602,Tynamo,35,55,40,45,40,60,electric,,0.2,0.3,5,0
603,Eelektrik,65,85,70,75,70,40,electric,,1.2,22,5,0
604,Eelektross,85,115,80,105,80,50,electric,,2.1,80.5,5,0
605,Elgyem,55,55,55,85,55,30,psychic,,0.5,9,5,0
606,Beheeyem,75,75,75,125,95,40,psychic,,1,34.5,5,0
607,Litwick,50,30,55,65,55,20,ghost,fire,0.3,3.1,5,0
608,Lampent,60,40,60,95,60,55,ghost,fire,0.6,13,5,0
609,Chandelure,60,55,90,145,90,80,ghost,fire,1,34.3,5,0
610,Axew,46,87,60,30,40,57,dragon,,0.6,18,5,0
611,Fraxure,66,117,70,40,50,67,dragon,,1,36,5,0
612,Haxorus,76,147,90,60,70,97,dragon,,1.8,105.5,5,0
613,Cubchoo,55,70,40,60,40,40,ice,,0.5,8.5,5,0
614,Beartic,95,130,80,70,80,50,ice,,2.6,260,5,0
615,Cryogonal,80,50,50,95,135,105,ice,,1.1,148,5,0
616,Shelmet,50,40,85,40,65,25,bug,,0.4,7.7,5,0
617,Accelgor,80,70,40,100,60,145,bug,,0.8,25.3,5,0
618,Stunfisk,109,66,84,81,99,32,ground,electric,0.7,11,5,0
619,Mienfoo,45,85,50,55,50,65,fighting,,0.9,20,5,0
620,Mienshao,65,125,60,95,60,105,fighting,,1.4,35.5,5,0
621,Druddigon,77,120,90,60,90,48,dragon,,1.6,139,5,0
622,Golett,59,74,50,35,50,35,ground,ghost,1,92,5,0
623,Golurk,89,124,80,55,80,55,ground,ghost,2.8,330,5,0
624,Pawniard,45,85,70,40,40,60,dark,steel,0.5,10.2,5,0
625,Bisharp,65,125,100,60,70,70,dark,steel,1.6,70,5,0
626,Bouffalant,95,110,95,40,95,55,normal,,1.6,94.6,5,0
627,Rufflet,70,83,50,37,50,60,normal,flying,0.5,10.5,5,0
628,Braviary,100,123,75,57,75,80,normal,flying,1.5,41,5,0
629,Vullaby,70,55,75,45,65,60,dark,flying,0.5,9,5,0
630,Mandibuzz,110,65,105,55,95,80,dark,flying,1.2,39.5,5,0
631,Heatmor,85,97,66,105,66,65,fire,,1.4,58,5,0
632,Durant,58,109,112,48,48,109,bug,steel,0.3,33,5,0
633,Deino,52,65,50,45,50,38,dark,dragon,0.8,17.3,5,0
634,Zweilous,72,85,70,65,70,58,dark,dragon,1.4,50,5,0
635,Hydreigon,92,105,90,125,90,98,dark,dragon,1.8,160,5,0
636,Larvesta,55,85,55,50,55,60,bug,fire,1.1,28.8,5,0
637,Volcarona,85,60,65,135,105,100,bug,fire,1.6,46,5,0
638,Cobalion,91,90,129,90,72,108,steel,fighting,2.1,250,5,1
639,Terrakion,91,129,90,72,90,108,rock,fighting,1.9,260,5,1
640,Virizion,91,90,72,90,129,108,grass,fighting,2,200,5,1
641,Tornadus,79,100,80,110,90,121,flying,,1.5,63,5,1
642,Thundurus,79,105,70,145,80,101,electric,flying,1.5,61,5,1
643,Reshiram,100,120,100,150,120,90,dragon,fire,3.2,330,5,1
644,Zekrom,100,150,120,120,100,90,dragon,electric,2.9,345,5,1
645,Landorus,89,145,90,105,80,91,ground,flying,1.5,68,5,1
646,Kyurem,125,120,90,170,100,95,dragon,ice,3,325,5,1
647,Keldeo,91,72,90,129,90,108,water,fighting,1.4,48.5,5,1
648,Meloetta,100,128,90,77,77,128,normal,psychic,0.6,6.5,5,1
649,Genesect,71,120,95,120,95,99,bug,steel,1.5,82.5,5,1
650,Chespin,56,61,65,48,45,38,grass,,0.4,9,6,0
651,Quilladin,61,78,95,56,58,57,grass,,0.7,29,6,0
652,Chesnaught,88,107,122,74,75,64,grass,fighting,1.6,90,6,0
653,Fennekin,40,45,40,62,60,60,fire,,0.4,9.4,6,0
654,Braixen,59,59,58,90,70,73,fire,,1,14.5,6,0
655,Delphox,75,69,72,114,100,104,fire,psychic,1.5,39,6,0
656,Froakie,41,56,40,62,44,71,water,,0.3,7,6,0
657,Frogadier,54,63,52,83,56,97,water,,0.6,10.9,6,0
658,Greninja,72,145,67,153,71,132,water,dark,1.5,40,6,0
659,Bunnelby,38,36,38,32,36,57,normal,,0.4,5,6,0
660,Diggersby,85,56,77,50,77,78,normal,ground,1,42.4,6,0
661,Fletchling,45,50,43,40,38,62,normal,flying,0.3,1.7,6,0
662,Fletchinder,62,73,55,56,52,84,fire,flying,0.7,16,6,0
663,Talonflame,78,81,71,74,69,126,fire,flying,1.2,24.5,6,0
664,Scatterbug,38,35,40,27,25,35,bug,,0.3,2.5,6,0
665,Spewpa,45,22,60,27,30,29,bug,,0.3,8.4,6,0
666,Vivillon,80,52,50,90,50,89,bug,flying,1.2,17,6,0
667,Litleo,62,50,58,73,54,72,fire,normal,0.6,13.5,6,0
668,Pyroar,86,68,72,109,66,106,fire,normal,1.5,81.5,6,0
669,Flabébé,44,38,39,61,79,42,fairy,,0.1,0.1,6,0
670,Floette,74,65,67,125,128,92,fairy,,0.2,0.9,6,0
671,Florges,78,65,68,112,154,75,fairy,,1.1,10,6,0
672,Skiddo,66,65,48,62,57,52,grass,,0.9,31,6,0
673,Gogoat,123,100,62,97,81,68,grass,,1.7,91,6,0
674,Pancham,67,82,62,46,48,43,fighting,,0.6,8,6,0
675,Pangoro,95,124,78,69,71,58,fighting,dark,2.1,136,6,0
676,Furfrou,75,80,60,65,90,102,normal,,1.2,28,6,0
677,Espurr,62,48,54,63,60,68,psychic,,0.3,3.5,6,0
678,Meowstic,74,48,76,83,81,104,psychic,,0.6,8.5,6,0
679,Honedge,45,80,100,35,37,28,steel,ghost,0.8,2,6,0
680,Doublade,59,110,150,45,49,35,steel,ghost,0.8,4.5,6,0
681,Aegislash,60,150,50,150,50,60,steel,ghost,1.7,53,6,0
682,Spritzee,78,52,60,63,65,23,fairy,,0.2,0.5,6,0
683,Aromatisse,101,72,72,99,89,29,fairy,,0.8,15.5,6,0
684,Swirlix,62,48,66,59,57,49,fairy,,0.4,3.5,6,0
685,Slurpuff,82,80,86,85,75,72,fairy,,0.8,5,6,0
686,Inkay,53,54,53,37,46,45,dark,psychic,0.4,3.5,6,0
687,Malamar,86,92,88,68,75,73,dark,psychic,1.5,47,6,0
688,Binacle,42,52,67,39,56,50,rock,water,0.5,31,6,0
689,Barbaracle,72,105,115,54,86,68,rock,water,1.3,96,6,0
690,Skrelp,50,60,60,60,60,30,poison,water,0.5,7.3,6,0
691,Dragalge,65,75,90,97,123,44,poison,dragon,1.8,81.5,6,0
692,Clauncher,50,53,62,58,63,44,water,,0.5,8.3,6,0
693,Clawitzer,71,73,88,120,89,59,water,,1.3,35.3,6,0
694,Helioptile,44,38,33,61,43,70,electric,normal,0.5,6,6,0
695,Heliolisk,62,55,52,109,94,109,electric,normal,1,21,6,0
696,Tyrunt,58,89,77,45,45,48,rock,dragon,0.8,26,6,0
697,Tyrantrum,82,121,119,69,59,71,rock,dragon,2.5,270,6,0
698,Amaura,77,59,50,67,63,46,rock,ice,1.3,25.2,6,0
699,Aurorus,123,77,72,99,92,58,rock,ice,2.7,225,6,0
700,Sylveon,95,65,65,110,130,60,fairy,,1,23.5,6,0
701,Hawlucha,78,92,75,74,63,118,fighting,flying,0.8,21.5,6,0
702,Dedenne,67,58,57,81,67,101,electric,fairy,0.2,2.2,6,0
703,Carbink,50,50,150,50,150,50,rock,fairy,0.3,5.7,6,0
704,Goomy,45,50,35,55,75,40,dragon,,0.3,2.8,6,0
705,Sliggoo,68,75,53,83,113,60,dragon,,0.8,17.5,6,0
706,Goodra,90,100,70,110,150,80,dragon,,2,150.5,6,0
707,Klefki,57,80,91,80,87,75,steel,fairy,0.2,3,6,0
708,Phantump,43,70,48,50,60,38,ghost,grass,0.4,7,6,0
709,Trevenant,85,110,76,65,82,56,ghost,grass,1.5,71,6,0
710,Pumpkaboo,59,66,70,44,55,41,ghost,grass,0.8,15,6,0
711,Gourgeist,85,100,122,58,75,54,ghost,grass,1.7,39,6,0
712,Bergmite,55,69,85,32,35,28,ice,,1,99.5,6,0
713,Avalugg,95,117,184,44,46,28,ice,,2,505,6,0
714,Noibat,40,30,35,45,40,55,flying,dragon,0.5,8,6,0
715,Noivern,85,70,80,97,80,123,flying,dragon,1.5,85,6,0
716,Xerneas,126,131,95,131,98,99,fairy,,3,215,6,1
717,Yveltal,126,131,95,131,98,99,dark,flying,5.8,203,6,1
718,Zygarde,216,100,121,91,95,85,dragon,ground,5,284.6,6,1
719,Diancie,50,160,110,160,110,110,rock,fairy,0.7,8.8,6,1
720,Hoopa,80,160,60,170,130,80,psychic,ghost,,,6,1
721,Volcanion,80,110,120,130,90,70,fire,water,1.7,195,6,1
722,Rowlet,68,55,55,50,50,42,grass,flying,0.3,1.5,7,0
723,Dartrix,78,75,75,70,70,52,grass,flying,0.7,16,7,0
724,Decidueye,78,107,75,100,100,70,grass,ghost,1.6,36.6,7,0
725,Litten,45,65,40,60,40,70,fire,,0.4,4.3,7,0
726,Torracat,65,85,50,80,50,90,fire,,0.7,25,7,0
727,Incineroar,95,115,90,80,90,60,fire,dark,1.8,83,7,0
728,Popplio,50,54,54,66,56,40,water,,0.4,7.5,7,0
729,Brionne,60,69,69,91,81,50,water,,0.6,17.5,7,0
730,Primarina,80,74,74,126,116,60,water,fairy,1.8,44,7,0
731,Pikipek,35,75,30,30,30,65,normal,flying,0.3,1.2,7,0
732,Trumbeak,55,85,50,40,50,75,normal,flying,0.6,14.8,7,0
733,Toucannon,80,120,75,75,75,60,normal,flying,1.1,26,7,0
734,Yungoos,48,70,30,30,30,45,normal,,0.4,6,7,0
735,Gumshoos,88,110,60,55,60,45,normal,,0.7,14.2,7,0
736,Grubbin,47,62,45,55,45,46,bug,,0.4,4.4,7,0
737,Charjabug,57,82,95,55,75,36,bug,electric,0.5,10.5,7,0
738,Vikavolt,77,70,90,145,75,43,bug,electric,1.5,45,7,0
739,Crabrawler,47,82,57,42,47,63,fighting,,0.6,7,7,0
740,Crabominable,97,132,77,62,67,43,fighting,ice,1.7,180,7,0
741,Oricorio,75,70,70,98,70,93,fire,flying,0.6,3.4,7,0
742,Cutiefly,40,45,40,55,40,84,bug,fairy,0.1,0.2,7,0
743,Ribombee,60,55,60,95,70,124,bug,fairy,0.2,0.5,7,0
744,Rockruff,45,65,40,30,40,60,rock,,0.5,9.2,7,0
745,Lycanroc,85,115,75,55,75,82,rock,,,,7,0
746,Wishiwashi,45,140,130,140,135,30,water,,0.2,0.3,7,0
747,Mareanie,50,53,62,43,52,45,poison,water,0.4,8,7,0
748,Toxapex,50,63,152,53,142,35,poison,water,0.7,14.5,7,0
749,Mudbray,70,100,70,45,55,45,ground,,1,110,7,0
750,Mudsdale,100,125,100,55,85,35,ground,,2.5,920,7,0
751,Dewpider,38,40,52,40,72,27,water,bug,0.3,4,7,0
752,Araquanid,68,70,92,50,132,42,water,bug,1.8,82,7,0
753,Fomantis,40,55,35,50,35,35,grass,,0.3,1.5,7,0
754,Lurantis,70,105,90,80,90,45,grass,,0.9,18.5,7,0
755,Morelull,40,35,55,65,75,15,grass,fairy,0.2,1.5,7,0
756,Shiinotic,60,45,80,90,100,30,grass,fairy,1,11.5,7,0
757,Salandit,48,44,40,71,40,77,poison,fire,0.6,4.8,7,0
758,Salazzle,68,64,60,111,60,117,poison,fire,1.2,22.2,7,0
759,Stufful,70,75,50,45,50,50,normal,fighting,0.5,6.8,7,0
760,Bewear,120,125,80,55,60,60,normal,fighting,2.1,135,7,0
761,Bounsweet,42,30,38,30,38,32,grass,,0.3,3.2,7,0
762,Steenee,52,40,48,40,48,62,grass,,0.7,8.2,7,0
763,Tsareena,72,120,98,50,98,72,grass,,1.2,21.4,7,0
764,Comfey,51,52,90,82,110,100,fairy,,0.1,0.3,7,0
765,Oranguru,90,60,80,90,110,60,normal,psychic,1.5,76,7,0
766,Passimian,100,120,90,40,60,80,fighting,,2,82.8,7,0
767,Wimpod,25,35,40,20,30,80,bug,water,0.5,12,7,0
768,Golisopod,75,125,140,60,90,40,bug,water,2,108,7,0
769,Sandygast,55,55,80,70,45,15,ghost,ground,0.5,70,7,0
770,Palossand,85,75,110,100,75,35,ghost,ground,1.3,250,7,0
771,Pyukumuku,55,60,130,30,130,5,water,,0.3,1.2,7,0
772,Type: Null,95,95,95,95,95,59,normal,,1.9,120.5,7,0
773,Silvally,95,95,95,95,95,95,normal,,2.3,100.5,7,0
774,Minior,60,100,60,100,60,120,rock,flying,0.3,40,7,0
775,Komala,65,115,65,75,95,65,normal,,0.4,19.9,7,0
776,Turtonator,60,78,135,91,85,36,fire,dragon,2,212,7,0
777,Togedemaru,65,98,63,40,73,96,electric,steel,0.3,3.3,7,0
778,Mimikyu,55,90,80,50,105,96,ghost,fairy,0.2,0.7,7,0
779,Bruxish,68,105,70,70,70,92,water,psychic,0.9,19,7,0
780,Drampa,78,60,85,135,91,36,normal,dragon,3,185,7,0
781,Dhelmise,70,131,100,86,90,40,ghost,grass,3.9,210,7,0
782,Jangmo-o,45,55,65,45,45,45,dragon,,0.6,29.7,7,0
783,Hakamo-o,55,75,90,65,70,65,dragon,fighting,1.2,47,7,0
784,Kommo-o,75,110,125,100,105,85,dragon,fighting,1.6,78.2,7,0
785,Tapu Koko,70,115,85,95,75,130,electric,fairy,1.8,20.5,7,1
786,Tapu Lele,70,85,75,130,115,95,psychic,fairy,1.2,18.6,7,1
787,Tapu Bulu,70,130,115,85,95,75,grass,fairy,1.9,45.5,7,1
788,Tapu Fini,70,75,115,95,130,85,water,fairy,1.3,21.2,7,1
789,Cosmog,43,29,31,29,31,37,psychic,,0.2,0.1,7,1
790,Cosmoem,43,29,131,29,131,37,psychic,,0.1,999.9,7,1
791,Solgaleo,137,137,107,113,89,97,psychic,steel,3.4,230,7,1
792,Lunala,137,113,89,137,107,97,psychic,ghost,4,120,7,1
793,Nihilego,109,53,47,127,131,103,rock,poison,1.2,55.5,7,1
794,Buzzwole,107,139,139,53,53,79,bug,fighting,2.4,333.6,7,1
795,Pheromosa,71,137,37,137,37,151,bug,fighting,1.8,25,7,1
796,Xurkitree,83,89,71,173,71,83,electric,,3.8,100,7,1
797,Celesteela,97,101,103,107,101,61,steel,flying,9.2,999.9,7,1
798,Kartana,59,181,131,59,31,109,grass,steel,0.3,0.1,7,1
799,Guzzlord,223,101,53,97,53,43,dark,dragon,5.5,888,7,1
800,Necrozma,97,107,101,127,89,79,psychic,,2.4,230,7,1
801,Magearna,80,95,115,130,115,65,steel,fairy,1,80.5,7,1